endpoint,content
Analyze,Hello I am sending you the contract draft as an attachment.
Analyze,Please find the attached NDA for your review and signature.
Analyze,I need your bank account number and routing number to process the refund.
Analyze,Your social security number is required to complete the verification.
Analyze,Meeting rescheduled to Thursday at 3 PM. Please confirm your availability.
Analyze,The quarterly report has been uploaded to the shared drive.
Analyze,Click this link to reset your password: http://totally-not-phishing.com/reset
Analyze,We are offering an exclusive investment opportunity with guaranteed 40% returns.
Analyze,Please wire 50000 USD immediately this is urgent and confidential.
Analyze,The project kickoff call is scheduled for next Monday. Agenda attached.
Analyze,Merhaba sözleşme taslağını ekte gönderiyorum incelemenizi bekliyorum.
Analyze,TC kimlik numaranızı ve banka bilgilerinizi lütfen paylaşır mısınız?
Analyze,Toplantı bir sonraki Salı günü saat 14:00'de yapılacak.
Analyze,Bitte senden Sie mir Ihre Bankverbindung für die Rückerstattung.
Analyze,Das Protokoll vom letzten Meeting wurde im freigegebenen Ordner gespeichert.
Analyze,Veuillez me communiquer votre numéro de compte bancaire pour le remboursement.
Analyze,La réunion de lancement est prévue pour vendredi prochain à 10h00.
Analyze,Por favor envíeme su número de cuenta bancaria para procesar el reembolso.
Analyze,La reunión de inicio del proyecto está programada para el próximo lunes.
Analyze,This message contains no sensitive information and is completely routine.
